head,type,tail,meta
sweet point,subclass of,curve,"{'spans': [[220, 270]], 'source': '68b6b96918d344d2999444f52ed8c5c3'}"
sweet point,part of,curve,"{'spans': [[220, 270]], 'source': '68b6b96918d344d2999444f52ed8c5c3'}"
LL,instance of,long-context,"{'spans': [[220, 270]], 'source': '68b6b96918d344d2999444f52ed8c5c3'}"
OP-RAG,based on,LLM,"{'spans': [[264, 314]], 'source': '68b6b96918d344d2999444f52ed8c5c3'}"
OP-RAG,different from,long-context LLM,"{'spans': [[264, 314]], 'source': '68b6b96918d344d2999444f52ed8c5c3'}"
long-context LLM,different from,OP-RAG,"{'spans': [[264, 314]], 'source': '68b6b96918d344d2999444f52ed8c5c3'}"
Op-RAG,subclass of,long-context LLMs,"{'spans': [[0, 50]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
Op-RAG,facet of,order- preserve retrieval-augmented generation,"{'spans': [[0, 50]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
Op-RAG,uses,order- preserve retrieval-augmented generation,"{'spans': [[0, 50]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
OP-RAG,instance of,generator,"{'spans': [[48, 98]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
OP-RAG,uses,generator,"{'spans': [[48, 98]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
generator,used by,OP-RAG,"{'spans': [[48, 98]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
4096,subclass of,context window,"{'spans': [[96, 146]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
4096,instance of,context window length,"{'spans': [[96, 146]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
4096,subclass of,context window length,"{'spans': [[96, 146]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
pre-pre,subclass of,recall,"{'spans': [[144, 194]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
recall,part of,retrieval model,"{'spans': [[144, 194]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
recall/prepre,subclass of,retrieval model,"{'spans': [[144, 194]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
GPT-4O,developer,OpenAI,"{'spans': [[192, 242], [123, 173]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
GPT- 4O,developer,OpenAI,"{'spans': [[192, 242]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
GPT-4O,publication date,2023,"{'spans': [[192, 242]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
Mistral-Large2,instance of,AI,"{'spans': [[240, 290]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
Mistral-Large2,use,AI,"{'spans': [[240, 290]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
Mistral-Large2,subclass of,AI,"{'spans': [[240, 290]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
long-context LLMs,subclass of,text window,"{'spans': [[288, 338]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
long-context LLM,subclass of,text window,"{'spans': [[288, 338]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
long-context LLMs,use,long-context LLMs,"{'spans': [[288, 338]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
demon-strates,subclass of,long-context,"{'spans': [[336, 386]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
demon-strates,subclass of,long-context (LC) LLMs,"{'spans': [[336, 386]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
long-context,subclass of,LLMs,"{'spans': [[336, 386]], 'source': 'ec3e40cb466a4a26961aedfc7aed03a3'}"
RAG,use,long-context answer generation,"{'spans': [[0, 50]], 'source': '65258eb7f65c4a319617dff45f514916'}"
long-context,subclass of,answer generation,"{'spans': [[0, 50]], 'source': '65258eb7f65c4a319617dff45f514916'}"
RAG,instance of,long-context answer generation,"{'spans': [[0, 50]], 'source': '65258eb7f65c4a319617dff45f514916'}"
relevance-descending order,facet of,RAG,"{'spans': [[28, 78]], 'source': '65258eb7f65c4a319617dff45f514916'}"
relevance-descending order,part of,RAG,"{'spans': [[28, 78]], 'source': '65258eb7f65c4a319617dff45f514916'}"
relevance-descending order,subclass of,RAG,"{'spans': [[28, 78]], 'source': '65258eb7f65c4a319617dff45f514916'}"
relevance-descending order,subclass of,order,"{'spans': [[56, 106]], 'source': '65258eb7f65c4a319617dff45f514916'}"
relevance-descending,subclass of,order,"{'spans': [[56, 106]], 'source': '65258eb7f65c4a319617dff45f514916'}"
relevance-descending order,instance of,order,"{'spans': [[56, 106]], 'source': '65258eb7f65c4a319617dff45f514916'}"
order-preserve,subclass of,RAG,"{'spans': [[0, 50]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
order-preserve RAG,instance of,RAG,"{'spans': [[0, 50]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
order-preserve RAG,subclass of,RAG,"{'spans': [[0, 50]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
context,subclass of,information,"{'spans': [[50, 100]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
context,has effect,confuse,"{'spans': [[50, 100]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
context,facet of,context,"{'spans': [[50, 100]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
information maxi,facet of,precision,"{'spans': [[100, 150]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
information maxi,subclass of,precision,"{'spans': [[100, 150]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
information maxi,facet of,recall,"{'spans': [[100, 150]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
LLM,use,long context,"{'spans': [[150, 200]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
LLM,uses,long context,"{'spans': [[150, 200]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
LLM,part of,long context,"{'spans': [[150, 200]], 'source': 'f001661ed65a416dadfdb6906837b6e8'}"
Long- Context LLMs,subclass of,LLMs,"{'spans': [[0, 50]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Long- Context LLMs,subclass of,com- pared,"{'spans': [[0, 50]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Long- Context LLMs,subclass of,com-pared,"{'spans': [[0, 50]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
∞Bench,developer,Zhang et al,"{'spans': [[47, 97], [43, 93]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
∞Bench,developer,Zhang et al.,"{'spans': [[47, 97]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
∞Bench,developer,"Zhang et al., 2024","{'spans': [[47, 97]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
GPT-4O,influenced by,Llama3.1-70B,"{'spans': [[94, 144]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
GPT-4O,based on,Llama3.1-70B,"{'spans': [[94, 144]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Llama3,has part,-70B,"{'spans': [[94, 144]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
RAG,has part,Gemini-1.5-Pro,"{'spans': [[141, 191]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Gemini-1,instance of,F1 score,"{'spans': [[141, 191]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Retrieval-augmented generation,facet of,retrieval,"{'spans': [[188, 238]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Retrieval-augmented generation,subclass of,retrieval,"{'spans': [[188, 238]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Retrieval-augmented generation,subclass of,retrieval- augmented generation,"{'spans': [[188, 238]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Mialon et al.,publication date,2020,"{'spans': [[235, 285]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
lan- guage model,facet of,factual accuracy,"{'spans': [[235, 285]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
lan- guage model,use,factual accuracy,"{'spans': [[235, 285]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Vanilla RAG,instance of,RAG,"{'spans': [[282, 332]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Vanilla RAG,opposite of,order- preserve the RAG,"{'spans': [[282, 332]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
order- preserve the RAG,opposite of,Vanilla RAG,"{'spans': [[282, 332]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Vanilla RAG,opposite of,order-preserve RAG,"{'spans': [[329, 379]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
order-preserve RAG,opposite of,Vanilla RAG,"{'spans': [[329, 379]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Vanilla RAG,different from,order-preserve RAG,"{'spans': [[329, 379]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
order-preserve RAG,different from,Vanilla RAG,"{'spans': [[329, 379]], 'source': '94d7854cb04a403e8d861b08995e18b5'}"
Long-context LLM,subclass of,LLMs,"{'spans': [[0, 50]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
Long-context LLM,instance of,LLMs,"{'spans': [[0, 50]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
Long-context LLM,subclass of,"LLMs, RAG","{'spans': [[0, 50]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
extensions,subclass of,computing efficiency,"{'spans': [[41, 91]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
self-attention,subclass of,computing efficiency,"{'spans': [[41, 91]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
extension,subclass of,computing efficiency,"{'spans': [[41, 91]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
GPT-4O,instance of,LLMs,"{'spans': [[82, 132]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
GPT-4O,instance of,LLM,"{'spans': [[82, 132]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
GPT-4O,use,LLMs,"{'spans': [[82, 132]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
OpenAI,field of work,xAI,"{'spans': [[123, 173]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
Grok- 2,developer,OpenAI,"{'spans': [[123, 173]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
Grok,influenced by,Meta,"{'spans': [[164, 214]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
Grok-2,developer,Meta,"{'spans': [[164, 214]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
Grok-2,influenced by,Meta,"{'spans': [[164, 214]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
RAG,use,long-context question- answering,"{'spans': [[205, 255]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
RAG,use,long-context question- answering task,"{'spans': [[205, 255]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
long-context question- answering,has part,RAG,"{'spans': [[205, 255]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
2024,point in time,2024,"{'spans': [[246, 296], [288, 338], [96, 146], [432, 482], [315, 365], [138, 188], [0, 50], [90, 140], [343, 393], [46, 96], [86, 136], [184, 234], [49, 99], [98, 148], [301, 351], [329, 379], [94, 144], [282, 332], [92, 142], [245, 295], [225, 275], [235, 285]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
2024,publication date,2024,"{'spans': [[246, 296]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
long-context LLMs,has part,RAG,"{'spans': [[246, 296]], 'source': 'c9d4542f4ba948a9a8cf6f268cbc2b32'}"
document,has part,textual,"{'spans': [[0, 50]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
3 Order-Preserve RAG,instance of,RAG,"{'spans': [[0, 50]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
Order-Preserve RAG,instance of,RAG,"{'spans': [[0, 50]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
ci,part of,d,"{'spans': [[45, 95]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
d,has part,ci,"{'spans': [[45, 95]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
N i,instance of,index,"{'spans': [[45, 95]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
cosine similarity,subclass of,relevance score,"{'spans': [[90, 140]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
cosine similarity,instance of,relevance score,"{'spans': [[90, 140]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
relevance score,facet of,cosine similarity,"{'spans': [[90, 140]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
RAG,uses,context length,"{'spans': [[135, 185]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
RAG,has part,context length,"{'spans': [[135, 185]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
RAG,instance of,context length,"{'spans': [[135, 185]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
∞Bench,instance of,datasets,"{'spans': [[180, 230], [43, 93]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
cosine similarity,subclass of,embedding function,"{'spans': [[180, 230]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
embedding function,subclass of,cosine similarity,"{'spans': [[180, 230]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
similarity scores,facet of,query,"{'spans': [[225, 275]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
similarity score,facet of,query,"{'spans': [[225, 275]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
in-dices,subclass of,similarity scores,"{'spans': [[225, 275]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
LongBench,instance of,LLMs,"{'spans': [[270, 320]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
LongBench,instance of,long-context LLMs,"{'spans': [[270, 320]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
LongBench,use,long-context LLMs,"{'spans': [[270, 320]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
128K-token window size,subclass of,tokens,"{'spans': [[315, 365]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
128K-token window size,has part,128 tokens,"{'spans': [[315, 365]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
tokens,part of,datasets,"{'spans': [[360, 410]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
BGE-large-en- v1.5,publication date,2023,"{'spans': [[360, 410]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
BGE-large-en- v1,publication date,2023,"{'spans': [[360, 410]], 'source': '70960154cecc4e90abafa2195fda03cb'}"
Figure 2,depicts,order-preserve RAG,"{'spans': [[0, 50]], 'source': '713863e668054c9484444f658b6185b1'}"
vanilla RAG,different from,proposed order-preserve RAG,"{'spans': [[0, 50]], 'source': '713863e668054c9484444f658b6185b1'}"
proposed order-preserve RAG,different from,vanilla RAG,"{'spans': [[0, 50]], 'source': '713863e668054c9484444f658b6185b1'}"
order of similarity,subclass of,order of similarity,"{'spans': [[0, 50]], 'source': '713863e668054c9484444f658b6185b1'}"
∞Bench,author,Zhang et al,"{'spans': [[43, 93]], 'source': '713863e668054c9484444f658b6185b1'}"
Eval- uation,subclass of,QA,"{'spans': [[86, 136]], 'source': '713863e668054c9484444f658b6185b1'}"
"Bench (Zhang et al., 2024) bench- mark",instance of,bench- mark,"{'spans': [[86, 136]], 'source': '713863e668054c9484444f658b6185b1'}"
"Bench (Zhang et al., 2024)",instance of,bench- mark,"{'spans': [[86, 136]], 'source': '713863e668054c9484444f658b6185b1'}"
F1-score,instance of,metric,"{'spans': [[129, 179]], 'source': '713863e668054c9484444f658b6185b1'}"
On av- erage,part of,En.QA,"{'spans': [[129, 179]], 'source': '713863e668054c9484444f658b6185b1'}"
En.QA,has part,On av- erage,"{'spans': [[129, 179]], 'source': '713863e668054c9484444f658b6185b1'}"
accuracy,facet of,question-answer,"{'spans': [[172, 222]], 'source': '713863e668054c9484444f658b6185b1'}"
answer choices,facet of,accuracy,"{'spans': [[172, 222]], 'source': '713863e668054c9484444f658b6185b1'}"
accuracy,uses,question-answer,"{'spans': [[172, 222]], 'source': '713863e668054c9484444f658b6185b1'}"
LongBench,instance of,bench- mark,"{'spans': [[215, 265]], 'source': '713863e668054c9484444f658b6185b1'}"
LongBench,instance of,bench-mark,"{'spans': [[215, 265]], 'source': '713863e668054c9484444f658b6185b1'}"
LongBench,subclass of,bench- mark,"{'spans': [[215, 265]], 'source': '713863e668054c9484444f658b6185b1'}"
Ablation Study,instance of,RAG,"{'spans': [[0, 50]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
RAG,subclass of,perfor- mance,"{'spans': [[0, 50]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
order-preserve RAG,subclass of,perfor-mance,"{'spans': [[0, 50]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
128m,has part,m,"{'spans': [[44, 94]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Figure 3,depicts,context length,"{'spans': [[44, 94]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
128m,instance of,context length,"{'spans': [[44, 94]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama,instance of,context length,"{'spans': [[88, 138]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama,instance of,distrac- tions,"{'spans': [[88, 138]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama,uses,distrac- tions,"{'spans': [[88, 138]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama3,instance of,model,"{'spans': [[132, 182]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama3.1-8B,different from,Llama3.1-70B,"{'spans': [[132, 182]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama3.1-70B,different from,Llama3.1-8B,"{'spans': [[132, 182]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama3.1-70B,based on,Llama3.1-8B,"{'spans': [[132, 182]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
EN.QA,different from,EN.MC,"{'spans': [[176, 226]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
EN.MC,different from,EN.QA,"{'spans': [[176, 226]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama3,length,8,"{'spans': [[176, 226]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama3.1-70B,follows,Llama3.1-8-3,"{'spans': [[176, 226]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Llama3.1-8-3,followed by,Llama3.1-70B,"{'spans': [[176, 226]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
1-8B model,part of,3.3,"{'spans': [[220, 270]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
3.3,has part,1-8B model,"{'spans': [[220, 270]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
1-8B,part of,3.3,"{'spans': [[220, 270]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
3.3,has part,1-8B,"{'spans': [[220, 270]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
∞Bench,based on,Llama3,"{'spans': [[264, 314]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
∞Bench,platform,Llama3,"{'spans': [[264, 314]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
∞Bench,uses,Llama3,"{'spans': [[264, 314]], 'source': '2502b35e32fe4f3cbc0ec601447077e4'}"
Order-preserve RAG,opposite of,vanilla RAG,"{'spans': [[0, 50]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
vanilla RAG,opposite of,Order-preserve RAG,"{'spans': [[0, 50]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
Figure 4,depicts,Order-preserve RAG,"{'spans': [[0, 50]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
Figure 4,depicts,vanilla RAG,"{'spans': [[0, 50]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
order-preserve RAG,subclass of,re-trieved chunks,"{'spans': [[46, 96]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
order-preserve,subclass of,re-trieved chunks,"{'spans': [[46, 96]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
order-preserve,subclass of,re-trieved,"{'spans': [[46, 96]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
order-preserve RAG,based on,EN.ific,"{'spans': [[92, 142]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
order-preserve,instance of,F1-score,"{'spans': [[92, 142]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
order-preserve RAG,part of,EN.ific,"{'spans': [[92, 142]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
order-preserve RAG,opposite of,vanialla RAG,"{'spans': [[138, 188]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
vanialla,instance of,dataset,"{'spans': [[138, 188]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
vanialla RAG,opposite of,order-preserve RAG,"{'spans': [[138, 188]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
LLM,subclass of,LLM,"{'spans': [[184, 234], [0, 50], [45, 95]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
LLM,use,LLM,"{'spans': [[184, 234], [329, 379], [270, 320], [0, 50], [138, 188], [235, 285]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
LLM,has part,LLama3,"{'spans': [[184, 234]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
-70B GPT-4O Gemini-1,area,34,"{'spans': [[230, 280]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
-70B GPT-4O Gemini-1,subclass of,3772,"{'spans': [[230, 280]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
INTEGRATED,facet of,INTEGRATED,"{'spans': [[276, 326]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
INTEGRATED,uses,INTEGRATED,"{'spans': [[276, 326]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
egregiously,facet of,egregiously,"{'spans': [[322, 372], [368, 418], [135, 185], [329, 379], [164, 214], [47, 97], [141, 191], [46, 96], [138, 188], [184, 234], [376, 426], [423, 473], [470, 520], [405, 455], [258, 308], [288, 338], [144, 194], [88, 138], [282, 332], [460, 510], [240, 290], [432, 482], [0, 50], [611, 661], [147, 197], [564, 614], [392, 442], [539, 589], [784, 834], [833, 883], [336, 386], [384, 434], [624, 674], [480, 530], [576, 626], [528, 578], [720, 770], [768, 818], [517, 567], [192, 242], [816, 866], [637, 687]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
egregiously,opposite of,egregiously,"{'spans': [[322, 372], [0, 50], [135, 185], [164, 214], [141, 191], [460, 510], [240, 290], [288, 338], [147, 197], [564, 614], [784, 834], [833, 883], [336, 386], [576, 626], [720, 770], [329, 379], [376, 426], [517, 567], [192, 242]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
OP-RAG-24K OP-RAG-48K,facet of,egregiously,"{'spans': [[368, 418]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
SELF-ROUTE,instance of,LLM,"{'spans': [[414, 464]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
SELF-ROUTE,use,LLM,"{'spans': [[414, 464]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
SELF-ROUTE,subclass of,LLM,"{'spans': [[414, 464]], 'source': '462d5b3914c84116a8f495f6b3f12ee8'}"
long-context LLM,instance of,baseline,"{'spans': [[0, 50]], 'source': '5873307daa0847c6941885df12ffb09e'}"
long-context LLM,subclass of,baseline,"{'spans': [[0, 50]], 'source': '5873307daa0847c6941885df12ffb09e'}"
long-context LLM,instance of,baselines,"{'spans': [[0, 50]], 'source': '5873307daa0847c6941885df12ffb09e'}"
LLM,uses,order-preserve RAG,"{'spans': [[49, 99]], 'source': '5873307daa0847c6941885df12ffb09e'}"
LLM,has part,order-preserve RAG,"{'spans': [[49, 99]], 'source': '5873307daa0847c6941885df12ffb09e'}"
LLM,has part,RAG,"{'spans': [[49, 99]], 'source': '5873307daa0847c6941885df12ffb09e'}"
Llama3,use,EN.QA,"{'spans': [[98, 148]], 'source': '5873307daa0847c6941885df12ffb09e'}"
Llama3,use,EN,"{'spans': [[98, 148]], 'source': '5873307daa0847c6941885df12ffb09e'}"
Llama3,instance of,1-70B,"{'spans': [[98, 148]], 'source': '5873307daa0847c6941885df12ffb09e'}"
OP-RAG,instance of,F1 score,"{'spans': [[147, 197]], 'source': '5873307daa0847c6941885df12ffb09e'}"
OP-RAG,uses,SELF-ROUTE,"{'spans': [[147, 197]], 'source': '5873307daa0847c6941885df12ffb09e'}"
OP-RAG,based on,SELF-ROUTE,"{'spans': [[147, 197]], 'source': '5873307daa0847c6941885df12ffb09e'}"
